feature,bin,mean_feature_value,mean_shap,mean_abs_shap,observations
ma_5,"(868.999, 2140.76]",1395.9899109792284,0.2647568,0.27927724,337
ma_5,"(2140.76, 2869.2]",2490.147023809524,-0.45593017,0.57998055,336
ma_5,"(2869.2, 3822.0]",3337.807715133531,-0.60885453,0.6088545,337
ma_5,"(3822.0, 4802.16]",4298.263880597015,-0.71048635,0.71048635,335
ma_5,"(4802.16, 27154.0]",9049.040949554896,-0.5904882,0.59048826,337
volume,"(-0.001, 2595.6]",687.4540059347181,-0.53741676,0.82236785,337
volume,"(2595.6, 4835.4]",3650.217261904762,0.6140443,0.6140443,336
volume,"(4835.4, 8472.4]",6515.526785714285,0.4678961,0.46789604,336
volume,"(8472.4, 16631.0]",11979.345238095239,0.17211033,0.17288849,336
volume,"(16631.0, 217629.0]",35598.48071216617,0.17639916,0.17684126,337
volatility_20,"(-0.001, 0.016]",0.010858187236872353,-0.4458347,0.4518785,337
volatility_20,"(0.016, 0.0206]",0.018344686821190326,-0.24980384,0.29745305,336
volatility_20,"(0.0206, 0.0249]",0.02270790611870714,0.22964868,0.23367545,336
volatility_20,"(0.0249, 0.033]",0.028155743727984534,0.32339686,0.32450756,336
volatility_20,"(0.033, 0.173]",0.06679895543581282,0.30963546,0.32768798,337
ma_20,"(868.999, 2163.6]",1426.0551928783382,0.17523356,0.22238119,337
ma_20,"(2163.6, 2934.47]",2521.3340773809523,-0.19346224,0.19436346,336
ma_20,"(2934.47, 3855.5]",3363.5666172106826,0.100458704,0.3166366,337
ma_20,"(3855.5, 4737.01]",4302.672835820896,0.26101136,0.3301409,335
ma_20,"(4737.01, 26273.5]",9024.934866468842,0.36153477,0.3834769,337
