year,feature,mean_shap,mean_abs_shap,positive_shap_count,negative_shap_count,observations,mean_feature_value
2019,ma_5,-0.8754311,0.8754311,0,92,92,5313.063043478261
2019,volume,-0.09961238,0.81810594,60,32,92,3777.445652173913
2019,volatility_20,-0.4624055,0.70249814,22,70,92,0.03080498012791054
2019,ma_20,0.13396865,0.30421925,61,31,92,5170.20652173913
2020,ma_5,-0.55456305,0.55456305,0,242,242,10418.038016528926
2020,volume,-0.029958552,0.38457412,198,44,242,20327.752066115703
2020,volatility_20,0.31072685,0.4354787,212,30,242,0.04267748977821345
2020,ma_20,0.36760756,0.3941954,228,14,242,10451.917355371901
2021,ma_5,-0.5733127,0.5733127,0,238,238,3856.3243697478993
2021,volume,0.16550225,0.4910558,200,38,238,6533.53781512605
2021,volatility_20,0.092739984,0.24988422,179,59,238,0.026110234822838703
2021,ma_20,0.26908508,0.336998,184,54,238,3921.5859243697478
2022,ma_5,-0.70841205,0.70841205,0,240,240,3141.190833333333
2022,volume,0.4357982,0.51085305,229,11,240,4488.708333333333
2022,volatility_20,0.027345065,0.31810954,138,102,240,0.023863625255966928
2022,ma_20,-0.01365993,0.27618694,80,160,240,3140.8589583333332
2023,ma_5,-0.67301697,0.67301697,0,239,239,4226.665271966527
2023,volume,0.29205194,0.43220922,220,19,239,8219.71129707113
2023,volatility_20,-0.0062477877,0.44272494,134,105,239,0.025688872887242906
2023,ma_20,0.26105213,0.33202747,201,38,239,4170.208577405857
2024,ma_5,-0.12334838,0.39556324,118,122,240,2359.2916666666665
2024,volume,0.40117136,0.49170476,224,16,240,6088.383333333333
2024,volatility_20,-0.08104495,0.21974744,91,149,240,0.025171822402407687
2024,ma_20,-0.101557165,0.15072776,20,220,240,2406.0939583333334
2025,ma_5,-0.20236658,0.4162118,102,138,240,2014.0774999999999
2025,volume,0.09015325,0.2887252,215,25,240,17772.333333333332
2025,volatility_20,0.052505676,0.21734616,153,87,240,0.033580796454198425
2025,ma_20,-0.060808264,0.20481738,107,133,240,2068.8166666666666
2026,ma_5,0.3580988,0.35955667,149,2,151,1191.9523178807947
2026,volume,-0.103225216,0.39699388,97,54,151,27012.675496688742
2026,volatility_20,0.02015364,0.22291052,96,55,151,0.0270243205834678
2026,ma_20,0.34243208,0.34585947,146,5,151,1200.2930463576158
